"Code Error Text Severity Associated Element(s) Form Reference","","","",""
"C29","The element is not recorded or does not contain a value and the form of identification is Passport or Alien registration.","Warning","OtherIssuerCountryText","18g. Form of ID: Issuing Country"
"C30","The element contains a value and identification unknown is indicated.","Warning","OtherIssuerCountryText","18g. Form of ID: Issuing Country"
"C31","The element contains an invalid country code.","Warning","OtherIssuerCountryText","18g. Form of ID: Issuing Country"
"C32","The element is not recorded or does not contain a value and the form of identification is Other.","Warning","OtherPartyIdentificationTypeText","18z. Form of ID: Type - Other Description"
"C33","The element contains a value and identification unknown is indicated.","Warning","OtherPartyIdentificationTypeText","18z. Form of ID: Type - Other Description"
"C34","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","IndividualBirthDateText","19. Date of birth: Date"
"C35","The element is not recorded for the individual subject and <AllCriticalSubjectInformationUnavailableIndicator> and <BirthDateUnknownIndicator> do not contain a “Y” value.","Warning","IndividualBirthDateText","19. Date of birth: Date"
"C36","The date of birth recorded is less than January 1, 1900.","Warning","IndividualBirthDateText","19. Date of birth: Date"
"C37","The element contains an invalid code.","Fatal","PhoneNumberTypeCode","20a-d. Phone: Type (a. Home, b. Work, c. Mobile, d. Fax)"
"C38","The value recorded for the element is not a valid email address or URL format.","Warning","ElectronicAddressText","22,22a. E-Address: Address"
"C39","The element is not recorded or does not contain a value (i.e. the value is null).","Fatal","ElectronicAddressTypeCode","22,22a. E-Address: Type Indicator"
"C40","The element contains an invalid code.","Fatal","ElectronicAddressTypeCode","22,22a. E-Address: Type Indicator"
"C41*","The element is not recorded or at least one indicator identifying the type of relationship is not recorded with a ""Y"" value.","Warning","PartyAssociation","24. Subject Relationship to FI (relationship type indicators)"
"C42","The value recorded does not match the TIN for the filing institution or a financial institution where the activity occurred.","Fatal","SubjectRelationshipFinancialInstitutionTINText","24a. Subject Relationship to FI: Institution TIN"
"C43","The element is not recorded or does not contain a value and Other is indicated.","Warning","OtherPartyAssociationTypeText","24z. Subject Relationship to FI: Other description"
"C44","The element is recorded with a value and Other is not indicated.","Warning","OtherPartyAssociationTypeText","24z. Subject Relationship to FI: Other description"
"C45","The element is not recorded or does not contain a value and the status of the relationship is Terminated, Suspended/barred, or Resigned.","Warning","ActionTakenDateText","26. Subject Relationship to FI: Action date"
"C46","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","ActionTakenDateText","26. Subject Relationship to FI: Action date"
"C55","The element is recorded with a valid value but the status of the relationship is not equal to","Warning","ActionTakenDateText","26. Subject Relationship to FI: Action date"
