"Code Error Text Severity Associated Element(s) Form Reference","","","",""
"G0","A required party associated with the transmitter is missing.","Fatal","Party","NA"
"G1","The report contains more than one party associated with the transmitter.","Fatal","Party","NA"
"G2","The element is not recorded or does not contain a value","Warning","Transmitter Name","NA"
"G3","The element is not recorded or does not contain a value","Warning","Transmitter Address","NA"
"G4","The element is not recorded or does not contain a value","Warning","Transmitter City","NA"
"G5","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","Transmitter State","NA"
"G6","The element contains a value that is not a valid code","Warning","Transmitter State","NA"
"G7","The element is not recorded or does not contain a value","Warning","Transmitter ZIP/Postal Code","NA"
"G8","The value recorded contains one or more non-numeric characters or is in an invalid format and the country is US","Warning","Transmitter ZIP/Postal Code","NA"
"G9","The element is not recorded or does not contain a value","Warning","Transmitter Country","NA"
"G10","The element contains a value that is not a valid code","Warning","Transmitter Country","NA"
"G11","State code and country code mismatch when U.S. Territory is recorded","Warning","Transmitter Country","NA"
"G12","The element contains an invalid number string for a US TIN","Warning","Transmitter Taxpayer Identification Number (TIN)","NA"
"G13","The element is not recorded or does not contain a value","Warning","Transmitter Taxpayer Identification Number (TIN)","NA"
